nombre_científico;autoridad;nombre_común;categoría_de_amenaza;origen
Plecotus auritus;Linnaeus, 1758;Murciélago orejudo dorado;LC;Nativa
Plecotus austriacus;(Fischer, 1829);Murciélago orejudo gris;LC;Nativa
Rattus rattus;(Linnaeus, 1758);Rata negra;LC;Introducida (invasora)**
Rupicapra pyrenaica;Bonaparte, 1845;Rebeco pirenaico;LC;Nativa
Sciurus vulgaris;Linnaeus, 1758;Ardilla roja;LC;Nativa
Sorex araneus;Linnaeus, 1758; Musaraña bicolor;LC;Nativa
Sorex coronatus;Millet, 1828;Musaraña tricolor;LC;Nativa
Sorex granarius;Miller, 1910;Musaraña ibérica;LC;Nativa
Sorex minutus;Linnaeus, 1766;Musaraña enana;LC;Nativa
Sus scrofa;Linnaeus, 1758;Jabalí;LC;Nativa
Tadarida teniotis;(Rafinesque, 1814);Murciélago rabudo;LC;Nativa
Talpa europaea;Linnaeus, 1758;Topo común;LC;Nativa
Talpa occidentalis;Cabrera, 1907;Topo ibérico;LC;Nativa
Ursus arctos;Linnaeus, 1758;Oso pardo;LC;Nativa
Vulpes vulpes;(Linnaeus, 1758);Zorro rojo;LC;Nativa
